,Name,Author,Version,Python: 2.7,Python: 3.5,Python: 3.6,Python: 3.7,Python: 3.8,Django: 1.11,Django: 2.0,Django: 2.1,Django: 2.2
0,apipkg,holger krekel,1.5,True,True,True,False,False,False,False,False,False
1,geoip2,Gregory Oschwald,2.9.0,True,True,True,False,False,False,False,False,False
2,bleach,None,2.1.4,True,True,True,False,False,False,False,False,False
3,coreapi,Tom Christie,2.3.3,True,True,True,False,False,False,False,False,False
4,pylint-celery,landscape.io,0.3,False,False,False,False,False,False,False,False,False
5,ruamel.ordereddict,Anthon van der Neut,0.4.14,False,False,False,False,False,False,False,False,False
6,['chardet'],['Daniel Blanchard'],['3.0.4'],True,True,True,False,False,False,False,False,False
7,backports.weakref,Pi Delport,1.0.post1,True,True,True,False,False,False,False,False,False
8,docopt,Vladimir Keleshev,0.6.2,True,False,False,False,False,False,False,False,False
9,pycryptodome,Helder Eijs,3.9.4,True,True,True,True,False,False,False,False,False
10,xmlsec,Bulat Gaifullin,1.3.3,True,True,True,False,False,False,False,False,False
11,cookies,Sasha Hart,2.2.1,True,False,False,False,False,False,False,False,False
12,billiard,R Oudkerk / Python Software Foundation,3.3.0.23,True,False,False,False,False,False,False,False,False
13,ruamel.yaml.clib,Anthon van der Neut,0.2.0,True,True,True,True,False,False,False,False,False
14,edx-completion,edX,3.0.2,True,True,False,False,False,True,True,True,True
15,mock,Testing Cabal,3.0.5,True,True,True,True,False,False,False,False,False
16,diff-cover,Matt Bachmann,0.9.8,False,False,False,False,False,False,False,False,False
17,audio-xblock,UNKNOWN,0.1,False,False,False,False,False,False,False,False,False
18,requests-oauthlib,Kenneth Reitz,1.1.0,True,True,True,True,False,False,False,False,False
19,packaging,Donald Stufft and individual contributors,19.2,True,True,True,True,False,False,False,False,False
20,['python-dateutil'],['Gustavo Niemeyer'],['2.8.1'],True,True,True,True,True,False,False,False,False
21,edx-rest-api-client,edX,1.9.2,True,True,True,False,False,False,False,False,False
22,pip-tools,Vincent Driessen,4.3.0,True,True,True,True,True,False,False,False,False
23,['more-itertools'],['Erik Rose'],['8.0.2'],False,True,True,True,True,False,False,False,False
24,distlib,Vinay Sajip,0.3.0,True,True,True,True,True,False,False,False,False
25,animation-xblock,UNKNOWN,0.1,False,False,False,False,False,False,False,False,False
26,django-ipware,Val Neekman,2.1.0,True,True,True,False,False,False,False,False,False
27,pytest-json-report,numirias,1.2.1,True,True,True,True,True,False,False,False,False
28,XBlock,edX,1.2.9,True,True,False,False,False,True,True,True,True
29,pycountry,Christian Theune,19.8.18,False,True,True,True,False,False,False,False,False
30,oauthlib,Idan Gazit,2.1.0,True,True,True,False,False,False,False,False,False
31,pyparsing,Paul McGuire,2.2.0,True,True,False,False,False,False,False,False,False
32,pluggy,Holger Krekel,0.13.1,True,True,True,True,True,False,False,False,False
33,faulthandler,Victor Stinner,3.1,False,False,False,False,False,False,False,False,False
34,xblock-poll,UNKNOWN,1.5.1,False,False,False,False,False,False,False,False,False
35,MarkupSafe,Armin Ronacher,1.1.1,True,True,True,True,False,False,False,False,False
36,django-user-tasks,edX,0.3.0,True,True,False,False,False,True,True,True,True
37,transifex-client,Transifex,0.13.4,True,True,True,True,False,False,False,False,False
38,edx-bulk-grades,edX,0.6.5,True,False,True,False,False,True,True,False,False
39,edx-rbac,edX,1.0.3,True,False,True,False,False,True,True,False,False
40,semantic-version,Rapha��l Barrois,2.8.3,True,True,True,True,False,False,False,False,False
41,Werkzeug,Armin Ronacher,0.16.0,True,True,True,True,False,False,False,False,False
42,['certifi'],['Kenneth Reitz'],['2019.11.28'],True,True,True,True,False,False,False,False,False
43,filelock,Benedikt Schmitt,3.0.12,True,True,True,True,False,False,False,False,False
44,imagesize,Yoshiki Shibukawa,1.1.0,True,True,True,True,False,False,False,False,False
45,httpretty,Gabriel Falcao,0.9.7,True,False,True,True,False,False,False,False,False
46,['pip'],['The pip developers'],['19.3'],True,True,True,True,False,False,False,False,False
47,['wheel'],['Daniel Holth'],['0.29.0'],True,False,False,False,False,False,False,False,False
48,labxchange-xblocks,OpenCraft,0.3.0,True,False,True,False,False,False,False,False,False
