,Name,Author,Version,Requires,Python: 2.7,Python: 3.5,Python: 3.6,Python: 3.7,Python: 3.8,Django: 1.11,Django: 2.0,Django: 2.1,Django: 2.2
0,pytest-xdist,holger krekel and contributors,1.30.0,"execnet (>=1.1), pytest (>=4.4.0), pytest-forked, six, filelock ; extra == 'testing'",True,True,True,True,False,False,False,False,False
1,pymongo,Mike Dirolf,3.9.0,,True,True,True,True,False,False,False,False,False
2,social-auth-core,Matias Aguirre,3.2.0,,True,False,False,False,False,False,False,False,False
3,django-pyfs,Piotr Mitros,2.1,"fs-s3fs, fs (>=2.0.1), six, django (>=1.11)",True,True,False,False,False,True,True,True,True
4,edx-submissions,edX,3.0.3,"jsonfield (<3.0.0,>=2.0.2), Django (<2.3,>=1.11), pytz, django-model-utils (>=2.3.1), djangorestframework (<3.10,>=3.2.0)",True,True,False,False,False,True,True,True,True
5,done-xblock,,2.0,,,,,,,,,,
6,configparser,Łukasz Langa,4.0.2,"sphinx ; extra == 'docs', jaraco.packaging (>=3.2) ; extra == 'docs', rst.linker (>=1.9) ; extra == 'docs', pytest (!=3.7.3,>=3.5) ; extra == 'testing', pytest-checkdocs (>=1.2) ; extra == 'testing', pytest-flake8 ; extra == 'testing', pytest-black-multipy ; extra == 'testing'",True,False,False,False,False,False,False,False,False
7,djangorestframework-xml,José Padilla,1.4.0,,True,True,True,False,False,False,False,False,False
8,edx-django-sites-extensions,edX,2.4.2,"django (<2.0,>=1.8) ; python_version < ""3"", django (>=1.11) ; python_version > ""3""",True,True,True,False,False,True,True,True,True
9,apipkg,holger krekel,1.5,,True,True,True,False,False,False,False,False,False
10,appdirs,Trent Mick; Sridhar Ratnakumar; Jeff Rouse,1.4.3,,True,True,True,False,False,False,False,False,False
11,wrapt,Graham Dumpleton,1.11.2,,True,True,True,True,False,False,False,False,False
12,python-swiftclient,OpenStack,3.8.1,"requests (>=1.1.0), six (>=1.9.0), futures (>=3.0.0) ; (python_version=='2.7' or python_version=='2.6'), python-keystoneclient (>=0.7.0) ; extra == 'keystone', hacking (<1.2.0,>=1.1.0) ; extra == 'test', coverage (!=4.4,>=4.0) ; extra == 'test', keystoneauth1 (>=3.4.0) ; extra == 'test', mock (>=1.2.0) ; extra == 'test', stestr (>=2.0.0) ; extra == 'test'",True,False,True,True,False,False,False,False,False
13,random2,PSF,1.0.1,,True,False,False,False,False,False,False,False,False
14,edx-i18n-tools,edX,0.4.8,"django (<2.0,>=1.8), polib, path.py (>=7.0), pyYaml, six",True,True,True,False,False,True,False,False,False
15,django-celery,Ask Solem,3.3.1,"celery (<4.0,>=3.1.15), django (>=1.8)",True,True,False,False,False,False,False,False,False
16,jinja2-pluralize,Audrey Roy Greenfeld,0.3.0,,True,True,False,False,False,False,False,False,False
17,cffi,"Armin Rigo, Maciej Fijalkowski",1.13.2,,True,True,True,False,False,False,False,False,False
18,xblock-utils,edX,1.2.2,"mako, XBlock, futures ; python_version == ""2.7""",True,False,True,True,False,True,False,False,False
19,enum34,Ethan Furman,1.1.6,,True,True,False,False,False,False,False,False,False
20,click-log,Markus Unterwaditzer,0.3.2,,True,True,True,False,False,False,False,False,False
21,sympy,SymPy development team,1.4,mpmath (>=0.19),True,True,True,False,False,False,False,False,False
22,edx-sphinx-theme,edX,1.5.0,"six, Sphinx",True,True,False,False,False,False,False,False,False
23,pathtools,Yesudeep Mangalapilly,0.1.2,,False,False,False,False,False,False,False,False,False
24,sorl-thumbnail,Mikko Hellsing,12.5.0,,True,True,True,True,False,True,True,True,False
25,django-sekizai,Jonas Obrist,1.0.0,,True,True,True,True,False,True,True,True,True
26,urllib3,Andrey Petrov,1.25.7,"brotlipy (>=0.6.0) ; extra == 'brotli', pyOpenSSL (>=0.14) ; extra == 'secure', cryptography (>=1.3.4) ; extra == 'secure', idna (>=2.0.0) ; extra == 'secure', certifi ; extra == 'secure', ipaddress ; (python_version == ""2.7"") and extra == 'secure', PySocks (!=1.5.7,<2.0,>=1.5.6) ; extra == 'socks'",True,True,True,True,True,False,False,False,False
